threshold,precision,recall,f1,unit_accuracy,positive_unit_accuracy,unit_mae,false_positive_rate,predicted_positive_rows,actual_positive_rows
0.85,0.9394904458598726,0.9175738724727839,0.9284028324154209,0.9880230488430326,0.750388802488336,0.014118924789573717,0.002385361413640501,1256,1286
0.8,0.9324960753532182,0.9237947122861586,0.928125,0.9879627115576071,0.7566096423017107,0.014299936645850303,0.002699224757540567,1274,1286
0.9,0.9488220958570268,0.9082426127527217,0.9280889948351212,0.9880532174857453,0.7410575427682737,0.013817238362446074,0.0019773390665704152,1231,1286
0.75,0.9283489096573209,0.926905132192846,0.9276264591439688,0.9878722056294688,0.7589424572317263,0.014390442573988596,0.0028875427638806062,1284,1286
0.7,0.9243243243243243,0.9307931570762052,0.9275474622239441,0.987842036986756,0.7628304821150855,0.014480948502126889,0.003075860770220646,1295,1286
0.95,0.9638958858102435,0.8926905132192846,0.9269277351635042,0.988083386128458,0.7262830482115086,0.013636226506169488,0.0013496123787702834,1191,1286
0.65,0.9186492709132771,0.9307931570762052,0.9246813441483198,0.9876006878450538,0.7628304821150855,0.014722297643829005,0.0033269514453406986,1303,1286
0.6,0.9153318077803204,0.9331259720062208,0.9241432422025414,0.9875403505596283,0.7651632970451011,0.014782634929254532,0.0034838831172907315,1311,1286
0.55,0.9127465857359636,0.9354587869362364,0.923963133640553,0.9875101819169155,0.7674961119751167,0.014812803571967298,0.0036094284548507578,1318,1286
0.5,0.9081325301204819,0.937791601866252,0.9227237949502678,0.9873895073460645,0.7698289269051322,0.015023984070956647,0.003829132795580804,1328,1286
0.45,0.9049401197604791,0.9401244167962675,0.9221967963386728,0.9873291700606389,0.7721617418351477,0.015084321356382177,0.003986064467530837,1336,1286
0.4,0.9036594473487677,0.9409020217729394,0.9219047619047619,0.9872990014179263,0.7729393468118196,0.01511448999909494,0.00404883713631085,1339,1286
0.35,0.8970370370370371,0.9416796267496111,0.9188163884673749,0.9870274836335113,0.7737169517884914,0.01538600778350982,0.004362700480210916,1350,1286
0.3,0.8938053097345132,0.942457231726283,0.9174867524602573,0.9869068090626603,0.7744945567651633,0.015506682354360877,0.004519632152160949,1356,1286
0.2,0.887509130752374,0.9447900466562986,0.9152542372881357,0.9866956285636709,0.7768273716951789,0.015717862853350226,0.004833495496061015,1369,1286
0.25,0.8892149669845928,0.942457231726283,0.9150622876557191,0.9866956285636709,0.7744945567651633,0.015717862853350226,0.004739336492890996,1363,1286
0.15,0.8831640058055152,0.9463452566096423,0.9136636636636637,0.9865447853501071,0.7783825816485226,0.01586870606691405,0.005053199836791061,1378,1286
0.1,0.877521613832853,0.9471228615863142,0.9109947643979057,0.986303436208405,0.7791601866251944,0.016110055208616164,0.0053356768463011205,1388,1286
0.05,0.8726752503576538,0.9486780715396579,0.9090909090909092,0.9861224243521284,0.7807153965785381,0.01629106706489275,0.005586767521421173,1398,1286
