note,best_threshold,threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,false_positive_rate,exact_unit_accuracy,positive_unit_accuracy,unit_mae,positive_unit_mae,predicted_positive_rows,actual_positive_rows,epoch,elapsed_seconds
epoch_1,0.53,0.53,0.9068080357142857,0.8108782435129741,0.8561643835616438,1625.0,167.0,5833.0,379.0,0.027833333333333335,0.8766866566716641,0.564870259481038,0.20002498750624687,0.7405189620758483,1792.0,2004.0,1,7.53
epoch_2,0.49,0.49,0.9104477611940298,0.8218562874251497,0.8638867033831629,1647.0,162.0,5838.0,357.0,0.027,0.8985507246376812,0.657185628742515,0.16691654172913542,0.6037924151696606,1809.0,2004.0,2,13.26
epoch_3,0.32,0.32,0.8789581205311542,0.8587824351297405,0.8687531549722363,1721.0,237.0,5763.0,283.0,0.0395,0.8986756621689156,0.6731536926147704,0.16541729135432284,0.5823353293413174,1958.0,2004.0,3,18.83
epoch_4,0.35,0.35,0.9146666666666666,0.8557884231536926,0.8842485176591905,1715.0,160.0,5840.0,289.0,0.02666666666666667,0.9029235382308846,0.6746506986027944,0.15592203898050974,0.560379241516966,1875.0,2004.0,4,24.63
