epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_predicted_positive_rows,val_actual_positive_rows
6,0.44527324950354735,0.95,0.7438485804416404,0.916796267496112,0.8213166144200627,0.9789724560292032,0.7737169517884914,0.02371255317223278,0.012742851762342676,1585.0,1286.0
7,0.40084825097792703,0.95,0.8540540540540541,0.8600311041990669,0.8570321580782643,0.9822608380848945,0.6897356143079316,0.023682384529520015,0.005932017199711245,1295.0,1286.0
8,0.36292941683974234,0.95,0.8117480537862704,0.8919129082426127,0.8499444238606891,0.9811445983045223,0.7208398133748056,0.02205327782303074,0.008348764947741753,1413.0,1286.0
9,0.33209873956328445,0.9,0.8937759336099586,0.8374805598755832,0.864712966680048,0.9834374151506924,0.6726283048211509,0.022354964250158385,0.004017450801920844,1205.0,1286.0
10,0.3093370030469754,0.9,0.8661538461538462,0.8755832037325039,0.8708430007733953,0.984131293933086,0.7262830482115086,0.01849337798292455,0.005461222183861147,1300.0,1286.0
11,0.2893087441507714,0.95,0.7914691943127962,0.9090202177293935,0.846181686572566,0.9815971279452137,0.7651632970451011,0.023531541315956195,0.00966699099212203,1477.0,1286.0
12,0.26866085374901866,0.95,0.8139372822299652,0.9082426127527217,0.858507901506799,0.9825625245120222,0.7581648522550545,0.022143783751169033,0.00838015128213176,1435.0,1286.0
13,0.24525498553053524,0.95,0.8462675535846268,0.890357698289269,0.867752936718454,0.9839201134340966,0.7472783825816485,0.02024315926026488,0.006528357553121371,1353.0,1286.0
14,0.23646370931222366,0.95,0.874120406567631,0.8693623639191291,0.8717348927875245,0.9841011252903732,0.7153965785381027,0.018825233052764956,0.005053199836791061,1279.0,1286.0
15,0.23580983207660974,0.95,0.8538985616956851,0.8771384136858476,0.8653624856156501,0.9833167405798413,0.7200622083981337,0.019519111835158535,0.0060575625372712725,1321.0,1286.0
16,0.22613138510204311,0.95,0.8652809853733642,0.8740279937791602,0.8696324951644101,0.9832865719371285,0.7052877138413686,0.022867831176275378,0.005492608518251153,1299.0,1286.0
17,0.19343804582876112,0.85,0.8344132469402448,0.9012441679626749,0.8665420560747663,0.9831055600808519,0.7433903576982893,0.020544845687392524,0.0072188569097015156,1389.0,1286.0
18,0.18373123934705157,0.95,0.8814102564102564,0.8553654743390358,0.8681925808997631,0.9836485956496818,0.6936236391912908,0.01927776269345642,0.004645177489720976,1248.0,1286.0
19,0.19864057920950506,0.85,0.8481481481481481,0.890357698289269,0.8687405159332322,0.9838296075059583,0.7426127527216174,0.01942860590702024,0.006434198549951351,1350.0,1286.0
20,0.17760037635952544,0.85,0.8393895348837209,0.8981337480559876,0.8677685950413222,0.9835882583642562,0.7488335925349923,0.019760460976860652,0.006936379900191456,1376.0,1286.0
21,0.16680916386195635,0.8,0.841799709724238,0.9020217729393468,0.8708708708708709,0.9838296075059583,0.7527216174183515,0.01970012369143512,0.006842220897021437,1378.0,1286.0
22,0.16232934874517901,0.85,0.8424153166421208,0.8895800933125972,0.8653555219364599,0.9823815126557456,0.7122861586314152,0.02114821854164781,0.0067166755594614104,1358.0,1286.0
23,0.14459818504286678,0.95,0.8231578947368421,0.9121306376360808,0.865363334562892,0.9826228617974477,0.7480559875583204,0.020816363471807403,0.007909356266281661,1425.0,1286.0
24,0.136998538159891,0.95,0.8273894436519258,0.9020217729393468,0.8630952380952381,0.9832564032944158,0.7566096423017107,0.019941472833137238,0.007595492922381595,1402.0,1286.0
25,0.1494253819170295,0.85,0.858433734939759,0.8864696734059098,0.8722264728385617,0.9840106193622349,0.7340590979782271,0.019850966904998945,0.005900630865321239,1328.0,1286.0
26,0.1317634178796029,0.75,0.8427128427128427,0.9082426127527217,0.874251497005988,0.9840709566476604,0.7589424572317263,0.019006244909041542,0.006842220897021437,1386.0,1286.0
27,0.13233437848996024,0.85,0.8517699115044248,0.8981337480559876,0.8743376230128691,0.9829848855100008,0.7177293934681181,0.02057501433010529,0.006308653212391325,1356.0,1286.0
28,0.1331150610463945,0.95,0.8800309597523219,0.8841368584758943,0.8820791311093871,0.9843123057893626,0.7161741835147745,0.018191691555796904,0.004864881830451022,1292.0,1286.0
29,0.11268811108331779,0.75,0.8437945791726106,0.9199066874027994,0.8802083333333334,0.9846139922164902,0.7737169517884914,0.019790629619573414,0.006873607231411443,1402.0,1286.0
30,0.10819615471051124,0.95,0.8767441860465116,0.8794712286158631,0.8781055900621119,0.9848553413581923,0.7332814930015552,0.01876489576733943,0.004990427168011048,1290.0,1286.0
31,0.1358563638353482,0.6,0.8650075414781297,0.8919129082426127,0.8782542113323124,0.9846441608592029,0.7433903576982893,0.021661085467764806,0.00561815385581118,1326.0,1286.0
32,0.09943981223278857,0.9,0.8954248366013072,0.8522550544323484,0.8733067729083666,0.9846743295019157,0.7045101088646968,0.017286632274413974,0.004017450801920844,1224.0,1286.0
33,0.1057980758295907,0.05,0.8598061148396718,0.8965785381026439,0.8778073848496384,0.9838899447913838,0.7309486780715396,0.018825233052764956,0.005900630865321239,1341.0,1286.0
34,0.11274163769139138,0.8,0.8644325971058644,0.8825816485225505,0.8734128510965755,0.9830150541527136,0.7006220839813375,0.019850966904998945,0.005586767521421173,1313.0,1286.0
35,0.0937398620703899,0.95,0.8352112676056338,0.9222395023328149,0.8765705838876571,0.9831658973662775,0.7480559875583204,0.019458774549733007,0.007344402247261543,1420.0,1286.0
36,0.11029308765907497,0.95,0.8241834607366226,0.9222395023328149,0.8704587155963303,0.9818686457296286,0.7293934681181959,0.02120855582707334,0.007940742600671668,1439.0,1286.0
37,0.08634909577216554,0.95,0.8590504451038575,0.9004665629860031,0.8792710706150343,0.9849156786436178,0.7589424572317263,0.019247594050743656,0.005963403534101253,1348.0,1286.0
38,0.08641440344967953,0.95,0.8930566640063847,0.8701399688958009,0.8814493895234344,0.9852475337134582,0.723950233281493,0.020363833831115938,0.004205768808260883,1253.0,1286.0
39,0.10414006419247822,0.85,0.8981255093724532,0.8569206842923794,0.8770393951452446,0.9848553413581923,0.7068429237947123,0.01822186019850967,0.003923291798750824,1227.0,1286.0
40,0.09926719764073517,0.05,0.8496023138105567,0.9136858475894246,0.8804795803671787,0.9844933176456391,0.7620528771384136,0.01997164147585,0.006528357553121371,1383.0,1286.0
41,0.09082538797278408,0.8,0.8455459770114943,0.9152410575427683,0.8790141896938013,0.9839502820768093,0.7534992223950233,0.02003197876127553,0.006748061893851417,1392.0,1286.0
42,0.09448474946441483,0.95,0.86586284853052,0.8934681181959565,0.8794489092996557,0.9845536549310646,0.7402799377916018,0.0195492804778713,0.005586767521421173,1327.0,1286.0
43,0.08350612495616594,0.95,0.8460431654676259,0.9144634525660964,0.8789237668161436,0.9839804507195221,0.7534992223950233,0.02099737532808399,0.0067166755594614104,1390.0,1286.0
44,0.08926464548933877,0.65,0.89140625,0.8872472783825817,0.8893219017926736,0.9861525929948411,0.7511664074650077,0.018885570338190483,0.004362700480210916,1280.0,1286.0
45,0.07234113646355364,0.85,0.8594674556213018,0.9035769828926905,0.8809704321455648,0.9851268591426072,0.7643856920684292,0.02057501433010529,0.005963403534101253,1352.0,1286.0
46,0.0888298855350066,0.05,0.8549450549450549,0.9074650077760498,0.880422482082233,0.9852173650707454,0.7729393468118196,0.01933809997888195,0.006214494209221305,1365.0,1286.0
47,0.08506941279738008,0.95,0.8201240523776706,0.9253499222395023,0.8695652173913044,0.983618427006969,0.7807153965785381,0.020273327902977645,0.00819183327579172,1451.0,1286.0
48,0.06997495079509733,0.95,0.8643815201192251,0.9020217729393468,0.882800608828006,0.9855793887832986,0.7698289269051322,0.017920173771382025,0.005712312858981199,1342.0,1286.0
49,0.09041572202022823,0.95,0.8155207624234173,0.9315707620528771,0.8696914700544465,0.9831960660089902,0.7776049766718507,0.021811928681328627,0.008505696619691786,1469.0,1286.0
50,0.07923332353325555,0.95,0.8501440922190202,0.9175738724727839,0.8825729244577414,0.9846139922164902,0.7651632970451011,0.019519111835158535,0.006528357553121371,1388.0,1286.0
51,0.0684152246101608,0.9,0.8905750798722045,0.8670295489891136,0.8786446020488574,0.9845234862883518,0.7076205287713841,0.02045433975925423,0.004299927811430903,1252.0,1286.0
52,0.06239666260785349,0.85,0.8572474377745242,0.9105754276827371,0.8831070889894419,0.9845536549310646,0.7534992223950233,0.02030349654569041,0.006120335206051286,1366.0,1286.0
53,0.08418468492763008,0.05,0.8632478632478633,0.8639191290824261,0.8635833657209483,0.9825625245120222,0.687402799377916,0.020906869399945696,0.00552399485264116,1287.0,1286.0
54,0.09436313933483406,0.95,0.7954098360655738,0.9432348367029549,0.8630380647456422,0.9830753914381392,0.8063763608087092,0.02163091682505204,0.009792536329682057,1525.0,1286.0
55,0.07115918904330233,0.95,0.824390243902439,0.9199066874027994,0.8695332598309444,0.9834374151506924,0.7690513219284604,0.024315926026488067,0.007909356266281661,1435.0,1286.0
56,0.07367654035518842,0.95,0.8506819813352476,0.921461897356143,0.8846584546472566,0.9844933176456391,0.7620528771384136,0.022716987962711557,0.006528357553121371,1393.0,1286.0
57,0.0893395931837004,0.7,0.8482905982905983,0.9261275272161742,0.8855018587360596,0.9848553413581923,0.7752721617418351,0.021178387184360575,0.006685289225071404,1404.0,1286.0
58,0.05615505432246001,0.85,0.8540305010893247,0.9144634525660964,0.8832144198272623,0.9846139922164902,0.7597200622083982,0.02018282197483935,0.006308653212391325,1377.0,1286.0
59,0.06339411399565689,0.95,0.8412017167381974,0.9144634525660964,0.8763040238450075,0.984251968503937,0.7667185069984448,0.019217425408030894,0.006967766234581463,1398.0,1286.0
60,0.07671106747789856,0.9,0.8833976833976834,0.8895800933125972,0.8864781092599768,0.9853380396415965,0.73950233281493,0.01876489576733943,0.004739336492890996,1295.0,1286.0
61,0.054025086368011975,0.95,0.8490974729241877,0.9144634525660964,0.8805690752527143,0.9845234862883518,0.7636080870917574,0.02072585754366911,0.006559743887511378,1385.0,1286.0
62,0.06382895880749379,0.95,0.8226256983240223,0.9160186625194401,0.8668138337012508,0.9828943795818627,0.7566096423017107,0.02307901167526473,0.007972128935061674,1432.0,1286.0
63,0.05794067624440758,0.85,0.8549450549450549,0.9074650077760498,0.880422482082233,0.9851570277853199,0.7713841368584758,0.018825233052764956,0.006214494209221305,1365.0,1286.0
64,0.06347419253218545,0.9,0.8544117647058823,0.9035769828926905,0.8783068783068781,0.984764835430054,0.7612752721617418,0.019639786406009593,0.006214494209221305,1360.0,1286.0
