threshold,precision,recall,f1,unit_accuracy,positive_unit_accuracy,unit_mae,false_positive_rate,predicted_positive_rows,actual_positive_rows
0.95,0.8937308868501529,0.9090202177293935,0.9013107170393214,0.985790569282288,0.7418351477449455,0.016894439919148036,0.004362700480210916,1308,1286
0.9,0.8792592592592593,0.9230171073094868,0.9006069802731412,0.9856095574260114,0.7558320373250389,0.01725646363170121,0.0051159725055710745,1350,1286
0.85,0.8730741012472487,0.9253499222395023,0.8984522461306154,0.985398376927022,0.7581648522550545,0.01746764413069056,0.00542983584947114,1363,1286
0.8,0.8651196519216824,0.9276827371695179,0.8953095684803003,0.9850966904998945,0.76049766718507,0.017769330557818205,0.005837858196541226,1379,1286
0.75,0.8597122302158273,0.9292379471228616,0.8931240657698056,0.9848855100009051,0.7620528771384136,0.01801067969952032,0.006120335206051286,1390,1286
0.7,0.8556111508220158,0.9307931570762052,0.8916201117318435,0.9847044981446285,0.7628304821150855,0.01816152291308414,0.006340039546781332,1399,1286
0.65,0.8523775727466288,0.9339035769828927,0.8912801484230056,0.9846139922164902,0.7651632970451011,0.018252028841222432,0.006528357553121371,1409,1286
0.6,0.8484848484848485,0.9362363919129082,0.8902033271719039,0.9844933176456391,0.7674961119751167,0.01837270341207349,0.006748061893851417,1419,1286
0.55,0.8464235624123422,0.9385692068429238,0.8901179941002949,0.9844631490029263,0.7698289269051322,0.018402872054786256,0.006873607231411443,1426,1286
0.5,0.8447552447552448,0.9393468118195957,0.8895434462444772,0.9844028117175009,0.7706065318818041,0.018463209340211784,0.006967766234581463,1430,1286
0.45,0.841225626740947,0.9393468118195957,0.8875826598089639,0.9842217998612243,0.7706065318818041,0.018674389839201135,0.007156084240921502,1436,1286
0.4,0.8373702422145328,0.9409020217729394,0.8861222995239839,0.9840709566476604,0.7721617418351477,0.018825233052764956,0.007375788581651549,1445,1286
0.35,0.8317307692307693,0.9416796267496111,0.8832968636032094,0.9837994388632455,0.7729393468118196,0.019096750837179835,0.007689651925551615,1456,1286
0.3,0.8284347231715653,0.942457231726283,0.8817751909785377,0.9836485956496818,0.7737169517884914,0.019247594050743656,0.007877969931891654,1463,1286
0.25,0.8268575323790047,0.9432348367029549,0.8812204867417363,0.9835882583642562,0.7744945567651633,0.019307931336169187,0.007972128935061674,1467,1286
0.2,0.8240489130434783,0.9432348367029549,0.87962291515591,0.9834374151506924,0.7744945567651633,0.019458774549733007,0.008129060607011707,1472,1286
0.1,0.8166666666666667,0.9525660964230172,0.879396984924623,0.9832865719371285,0.7830482115085536,0.019609617763296828,0.008631241957251812,1500,1286
0.15,0.8211875843454791,0.9463452566096423,0.879335260115607,0.9833770778652668,0.7776049766718507,0.019519111835158535,0.008317378613351746,1482,1286
0.05,0.8088332234673699,0.9541213063763608,0.8754905458437389,0.9828943795818627,0.7846034214618973,0.020062147403988293,0.00910203697310191,1517,1286
