threshold,precision,recall,f1,unit_accuracy,positive_unit_accuracy,unit_mae,false_positive_rate,predicted_positive_rows,actual_positive_rows
0.05,0.8692210259658011,0.12400054207887247,0.2170389405020755,0.58212,0.07480688440168044,1.8463,0.0148225244948498,3158,22137
0.1,0.8783739837398374,0.12201291954646068,0.21426304934158336,0.58286,0.07471653792293445,1.84792,0.013422818791946308,3075,22137
0.15,0.8841826604897419,0.12070289560464381,0.21240907826225208,0.58332,0.07467136468356146,1.84772,0.012561461436313391,3022,22137
0.2,0.8878378378378379,0.11871527307223201,0.2094274216041758,0.5836,0.07449067172606948,1.84874,0.011915443419588702,2960,22137
0.25,0.8892709766162311,0.1168179970185662,0.20650828508684368,0.5838,0.07449067172606948,1.85028,0.01155654452140832,2908,22137
0.3,0.8905542000697108,0.11541762659800334,0.20435095577061504,0.58396,0.07449067172606948,1.85092,0.011269425402864013,2869,22137
0.35,0.8920634920634921,0.11424312237430546,0.20254685247477175,0.5841,0.07444549848669649,1.85202,0.010982306284319707,2835,22137
0.4,0.8934046345811052,0.11320413786872657,0.2009461951728009,0.58424,0.07444549848669649,1.8524,0.01073107705559344,2805,22137
0.45,0.8950416214259862,0.11171342096941772,0.19863453815261045,0.5844,0.07440032524732348,1.85306,0.010408068047231095,2763,22137
0.5,0.8964128843338214,0.11062926322446583,0.19695202863002131,0.5845,0.07430997876857749,1.85362,0.010156838818504828,2732,22137
0.55,0.8985560903369123,0.10963545195825992,0.19542636283114584,0.58468,0.07430997876857749,1.85366,0.009833829810142483,2701,22137
0.6,0.901990236575291,0.10850612097393504,0.19370967741935483,0.5849,0.0742196322898315,1.85274,0.009367261242507986,2663,22137
0.65,0.9050899349406812,0.1068347111171342,0.1911111111111111,0.58514,0.07417445905045851,1.85256,0.008900692674873489,2613,22137
0.7,0.90558615263572,0.1039887970366355,0.18655537096316707,0.58528,0.07412928581108551,1.85344,0.008613573556329182,2542,22137
0.75,0.9085872576177285,0.10371775760039753,0.18618228997729486,0.58542,0.07403893933233953,1.85262,0.008290564547966837,2527,22137
0.8,0.9143084894380231,0.10362741112165154,0.18615596851416052,0.58574,0.07403893933233953,1.85192,0.007716326310878226,2509,22137
0.85,0.9179734620024126,0.10313050548854859,0.18542884990253414,0.5859,0.07390341961422053,1.85124,0.007321537522879805,2487,22137
0.9,0.9215128100854005,0.10236256041920766,0.184257602862254,0.58604,0.07372272665672855,1.85024,0.006926748734881384,2459,22137
0.95,0.9249374478732277,0.10019424492930389,0.18080293458324845,0.586,0.07304512806613363,1.84844,0.006460180167246887,2398,22137
